Indel,Percentage,Country
1MMRKLAILSVSSFLF15,0,Bioko
76DGNNNNGDNGREGKDEDKR77,49,Bioko
1MMRKLAILSVSSFLF15,0,Cameroon
76DGNNNNGDNGREGKDEDKR77,100,Cameroon
1MMRKLAILSVSSFLF15,100,Gambia
76DGNNNNGDNGREGKDEDKR77,100,Gambia
1MMRKLAILSVSSFLF15,0,Ghana
76DGNNNNGDNGREGKDEDKR77,26,Ghana
1MMRKLAILSVSSFLF15,100,Iran
76DGNNNNGDNGREGKDEDKR77,100,Iran
1MMRKLAILSVSSFLF15,0,Kenya
76DGNNNNGDNGREGKDEDKR77,31,Kenya
1MMRKLAILSVSSFLF15,0,Malawi
76DGNNNNGDNGREGKDEDKR77,0,Malawi
1MMRKLAILSVSSFLF15,0,Phillipiens
76DGNNNNGDNGREGKDEDKR77,100,Phillipiens
1MMRKLAILSVSSFLF15,0,Solomon Island
76DGNNNNGDNGREGKDEDKR77,100,Solomon Island
1MMRKLAILSVSSFLF15,0,Tanzania
76DGNNNNGDNGREGKDEDKR77,100,Tanzania
1MMRKLAILSVSSFLF15,0,Vanuatu
76DGNNNNGDNGREGKDEDKR77,100,Vanuatu
1MMRKLAILSVSSFLF15,0,Venezuela
76DGNNNNGDNGREGKDEDKR77,100,Venezuela
